   ============================== 
=== Suspicious Behavior (432 Cases) === 
   ==============================


melaina.gabeline@yahoo.com.mx	7
	DATE: [2020-05-04] ---
		02:35:34	login		myworkstation.local
		04:01:52	logout			webserver.local
		20:11:37	login		myworkstation.local
		20:47:21	login		mailserver.local
		23:24:00	logout			mailserver.local
	DATE: [2020-05-09] ---
		03:04:02	login		mailserver.local
		04:20:06	login		myworkstation.local
		04:34:31	logout			mailserver.local
		18:53:42	login		mailserver.local
		18:55:11	login		webserver.local
	DATE: [2020-05-12] ---
		02:27:57	login		mailserver.local
		08:06:39	logout			webserver.local
		10:19:37	logout			mailserver.local
		11:22:27	login		myworkstation.local
	DATE: [2020-05-13] ---
		04:54:25	login		mailserver.local
		14:36:29	login		mailserver.local
	DATE: [2020-05-23] ---
		00:44:42	login		mailserver.local
		14:59:22	login		myworkstation.local
		16:03:27	login		myworkstation.local
		17:59:15	logout			myworkstation.local
		18:17:12	login		webserver.local
	DATE: [2020-05-25] ---
		00:31:51	login		mailserver.local
		05:20:44	login		webserver.local
		08:06:56	login		webserver.local
		09:43:31	logout			mailserver.local
		20:19:48	login		myworkstation.local
	DATE: [2020-05-27] ---
		01:21:31	logout			mailserver.local
		04:05:47	logout			myworkstation.local
		04:54:45	login		mailserver.local


sevan.stephco@miho-nakayama.com	9
	DATE: [2020-05-01] ---
		03:11:33	login		myworkstation.local
		16:50:00	logout			mailserver.local
	DATE: [2020-05-08] ---
		01:12:33	login		mailserver.local
		08:59:54	login		mailserver.local
		14:15:09	login		myworkstation.local
		19:34:09	logout			mailserver.local
	DATE: [2020-05-13] ---
		01:13:45	login		myworkstation.local
		03:26:31	logout			mailserver.local
		05:17:28	login		myworkstation.local
		07:02:48	logout			webserver.local
		08:47:22	login		webserver.local
		23:59:29	login		mailserver.local
	DATE: [2020-05-14] ---
		01:12:01	login		mailserver.local
		03:06:45	logout			myworkstation.local
		12:03:05	logout			mailserver.local
		22:57:19	logout			mailserver.local
		23:15:23	login		mailserver.local
	DATE: [2020-05-17] ---
		02:16:34	login		myworkstation.local
		17:00:37	logout			mailserver.local
		19:54:54	login		myworkstation.local
		21:46:23	logout			mailserver.local
		21:53:03	login		myworkstation.local
	DATE: [2020-05-18] ---
		00:05:45	login		webserver.local
		01:53:30	logout			mailserver.local
		18:57:27	login		webserver.local
	DATE: [2020-05-21] ---
		02:04:40	logout			mailserver.local
		03:09:13	login		myworkstation.local
		03:19:30	logout			myworkstation.local
		09:40:28	logout			myworkstation.local
		20:48:53	logout			mailserver.local
		21:59:26	logout			webserver.local
	DATE: [2020-05-22] ---
		00:27:52	login		webserver.local
		05:06:53	logout			webserver.local
		14:55:13	login		mailserver.local
		21:45:17	logout			myworkstation.local
		22:53:40	logout			mailserver.local
	DATE: [2020-05-27] ---
		01:22:12	login		myworkstation.local
		05:02:24	login		myworkstation.local
		21:30:49	logout			webserver.local


breena.benassi@gmx.net	12
	DATE: [2020-05-01] ---
		01:30:53	login		webserver.local
		08:29:26	login		mailserver.local
	DATE: [2020-05-02] ---
		03:12:24	login		mailserver.local
		12:11:13	logout			mailserver.local
	DATE: [2020-05-06] ---
		02:27:28	login		webserver.local
	DATE: [2020-05-08] ---
		01:57:45	login		myworkstation.local
		08:38:27	logout			myworkstation.local
		12:51:13	login		webserver.local
		16:19:35	logout			webserver.local
	DATE: [2020-05-09] ---
		00:05:12	login		mailserver.local
		04:09:27	logout			mailserver.local
		08:44:58	logout			mailserver.local
		11:46:07	logout			mailserver.local
	DATE: [2020-05-10] ---
		00:01:11	login		myworkstation.local
		07:22:06	login		mailserver.local
		18:29:32	login		webserver.local
	DATE: [2020-05-15] ---
		03:38:15	login		webserver.local
	DATE: [2020-05-18] ---
		03:31:22	logout			myworkstation.local
		04:14:53	login		mailserver.local
		07:13:42	login		webserver.local
	DATE: [2020-05-19] ---
		02:09:25	logout			webserver.local
		04:48:27	login		mailserver.local
		05:30:05	logout			mailserver.local
		07:22:16	logout			mailserver.local
	DATE: [2020-05-20] ---
		02:51:23	login		webserver.local
		07:56:24	logout			mailserver.local
		13:28:34	login		webserver.local
		14:20:11	login		webserver.local
		18:29:04	login		mailserver.local
		20:46:38	login		webserver.local
	DATE: [2020-05-25] ---
		02:28:35	login		webserver.local
		04:25:49	logout			webserver.local
		23:15:31	logout			mailserver.local
	DATE: [2020-05-28] ---
		03:46:38	login		mailserver.local
		19:16:23	login		mailserver.local


arti.karshner@mail2perry.com	9
	DATE: [2020-05-01] ---
		01:51:58	login		webserver.local
		02:24:30	login		webserver.local
		13:04:48	login		myworkstation.local
		14:22:53	logout			webserver.local
		16:59:03	logout			myworkstation.local
		20:32:28	logout			myworkstation.local
	DATE: [2020-05-05] ---
		01:23:25	login		webserver.local
		02:26:15	login		mailserver.local
		02:34:17	login		webserver.local
		02:54:12	logout			myworkstation.local
		06:35:10	logout			webserver.local
		10:55:43	login		webserver.local
		12:15:18	login		webserver.local
		21:58:59	logout			mailserver.local
	DATE: [2020-05-10] ---
		00:41:19	login		webserver.local
		01:31:59	logout			myworkstation.local
		16:14:58	login		mailserver.local
		17:26:04	login		webserver.local
		17:43:59	logout			myworkstation.local
	DATE: [2020-05-14] ---
		01:56:32	login		webserver.local
		03:45:10	login		myworkstation.local
		10:23:36	logout			webserver.local
		16:31:34	logout			webserver.local
	DATE: [2020-05-16] ---
		01:05:08	login		mailserver.local
		08:00:27	logout			mailserver.local
		14:22:09	logout			webserver.local
		14:52:30	logout			myworkstation.local
		18:11:52	login		webserver.local
		22:31:28	logout			mailserver.local
	DATE: [2020-05-17] ---
		00:22:46	login		myworkstation.local
	DATE: [2020-05-22] ---
		02:51:48	login		myworkstation.local
		05:13:53	logout			webserver.local
		08:50:12	login		myworkstation.local
		11:34:08	login		mailserver.local
		19:14:59	logout			myworkstation.local
	DATE: [2020-05-26] ---
		04:59:33	login		webserver.local
		22:40:05	logout			webserver.local
	DATE: [2020-05-29] ---
		01:54:33	login		webserver.local
